No. Reads;root;organism;Domain;Group;Phylum;Class;;;;;
523711;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
429034;root;cellular organisms;;;;;;;;;
322302;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
112221;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
86792;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
65416;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
54888;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
33082;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
31318;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
22917;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
15788;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
6368;root;cellular organisms;Bacteria;;;;;;;;
4343;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;;;;;
3830;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
3383;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
2716;root;cellular organisms;Eukaryota;;;;;;;;
2297;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
2064;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
2027;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
1835;root;cellular organisms;Bacteria;Terrabacteria group;Tenericutes;Mollicutes;;;;;
1753;root;cellular organisms;Eukaryota;Alveolata;Dinophyceae;Suessiales;;;;;
1599;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
1592;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
1412;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
1289;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
1166;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Craspedida;;;;;
1159;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;
1146;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
1099;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
1096;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Craspedida;;;;;
1016;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
966;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
908;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
849;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
830;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
742;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;;;;;;
684;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
648;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
644;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
618;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
602;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
587;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
571;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
566;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
554;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
540;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
499;root;cellular organisms;Eukaryota;Alveolata;Dinophyceae;Gonyaulacales;;;;;
488;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
474;root;cellular organisms;Bacteria;Proteobacteria;;;;;;;
436;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
430;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;;;;;;
427;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;
422;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
416;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
402;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;
387;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
358;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
356;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
352;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
344;root;cellular organisms;Eukaryota;Rhizaria;Foraminifera;Monothalamids;;;;;
342;root;cellular organisms;Eukaryota;Cryptophyta;Pyrenomonadales;Geminigeraceae;;;;;
341;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
334;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
332;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
330;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
317;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
313;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
307;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
288;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
287;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
273;root;cellular organisms;Eukaryota;Amoebozoa;Discosea;Longamoebia;;;;;
269;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Coriobacteriia;;;;;
268;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
268;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
261;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Neocallimastigomycota;;;;;
239;root;cellular organisms;Eukaryota;Rhizaria;Cercozoa;Imbricatea;;;;;
238;root;cellular organisms;Eukaryota;Stramenopiles;Bacillariophyta;Coscinodiscophyceae;;;;;
238;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;
237;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
212;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
209;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
206;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Postciliodesmatophora;;;;;
200;root;cellular organisms;Bacteria;environmental samples;uncultured bacterium;;;;;;
196;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
196;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;
192;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Blastocladiomycota;;;;;
187;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
186;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;;;;;
185;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
183;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
180;root;cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;;;;;
179;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Cryptomycota;;;;;
175;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;
174;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;
173;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
169;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;
168;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
167;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;
166;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
166;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
163;root;cellular organisms;Eukaryota;Apusozoa;Apusomonadidae;Thecamonas;;;;;
158;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
157;root;cellular organisms;Eukaryota;Stramenopiles;PX clade;Phaeophyceae;;;;;
157;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
156;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
156;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
156;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
155;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
149;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
148;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;
147;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
146;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
144;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Neocallimastigomycota;;;;;
144;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
144;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;
143;root;cellular organisms;Eukaryota;Stramenopiles;Bacillariophyta;Bacillariophyceae;;;;;
141;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
140;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
139;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
137;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
137;root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;;;;;
136;root;cellular organisms;Eukaryota;Haptophyceae;Isochrysidales;Noelaerhabdaceae;;;;;
135;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
135;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
133;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
132;root;cellular organisms;Eukaryota;Alveolata;Perkinsea;Perkinsida;;;;;
129;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;;;;;
128;root;cellular organisms;Bacteria;Terrabacteria group;;;;;;;
126;root;cellular organisms;Eukaryota;Alveolata;Chromerida;Vitrella;;;;;
124;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
124;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
122;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Madurella mycetomatis;;;;
120;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
120;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
119;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;
119;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
118;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
117;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;
117;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Neocallimastigomycota;;;;;
117;root;cellular organisms;Eukaryota;Heterolobosea;Schizopyrenida;Vahlkampfiidae;;;;;
116;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;
116;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
116;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
115;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
