No. Reads;root;organism;Domain;Group;Phylum;Class;;;;;;;;;;;;;;;
734105;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
624426;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
508031;root;cellular organisms;;;;;;;;;;;;;;;;;;;
129907;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
123598;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
79038;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
73985;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
69820;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
68726;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
39463;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
39427;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
37469;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
35232;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
34216;root;cellular organisms;Bacteria;;;;;;;;;;;;;;;;;;
27128;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
23041;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21682;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
19807;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;;;;;;;;;;;
19331;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;;;;;;;;;;;
19056;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
11208;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;;;;;;;;;;;
8526;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
8072;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
7772;root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;;;;;;;;;;;;;;;
7618;root;cellular organisms;Eukaryota;Alveolata;Dinophyceae;Suessiales;;;;;;;;;;;;;;;
6918;root;;;;;;;;;;;;;;;;;;;;
6258;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
5157;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;;;;;;;;;;;;;;;
5124;root;Viruses;Retro-transcribing viruses;Retroviridae;unclassified Retroviridae;Intracisternal A-particles;;;;;;;;;;;;;;;
5097;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
4603;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;;;;;;;;;;;
4455;root;cellular organisms;Eukaryota;;;;;;;;;;;;;;;;;;
4311;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
4097;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
3682;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
3646;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;;;;;;;;;;;;;;;;
3580;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
3377;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
2778;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
2703;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Craspedida;;;;;;;;;;;;;;;
2576;root;Viruses;Retro-transcribing viruses;Retroviridae;unclassified Retroviridae;Intracisternal A-particles;;;;;;;;;;;;;;;
2309;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;;;;;;;;;;;
2237;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Craspedida;;;;;;;;;;;;;;;
2149;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
2144;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
2107;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
2016;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
2013;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
1923;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;;;;;;;;;;;
1911;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
1854;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
1790;root;cellular organisms;Bacteria;Proteobacteria;;;;;;;;;;;;;;;;;
1784;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
1639;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
1452;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
1437;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;;;;;;;;;;;
1421;root;Viruses;Retro-transcribing viruses;Retroviridae;;;;;;;;;;;;;;;;;
1353;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
1351;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
1315;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;;;;;;;;;;;
1273;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
1259;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
1244;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
1240;root;Viruses;Retro-transcribing viruses;Retroviridae;unclassified Retroviridae;Avian retroviruses;;;;;;;;;;;;;;;
1176;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
1146;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;;;;;;;;;;;
1036;root;cellular organisms;Eukaryota;Alveolata;Dinophyceae;Gonyaulacales;;;;;;;;;;;;;;;
1025;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
991;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
987;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
984;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;;;;;;;;;;;
982;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
933;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
911;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
896;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;;;;;;;;;;;;;;;;
895;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Alpharetrovirus;;;;;;;;;;;;;;;
848;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
820;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
818;root;cellular organisms;Eukaryota;Cryptophyta;Pyrenomonadales;Geminigeraceae;;;;;;;;;;;;;;;
802;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
794;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
764;root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;;;;;;;;;;;;;;;
736;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
730;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Aspergillaceae;Aspergillus;;;;;;
718;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
700;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Alpharetrovirus;;;;;;;;;;;;;;;
698;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;;;;;;;;;;;
694;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
682;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
675;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
